Bandit,Reward,Algorithm
2.0,2.0985780285267706,EpsilonGreedy
2.0,2.133877918572543,EpsilonGreedy
2.0,4.528346835755644,EpsilonGreedy
2.0,2.6320677304467024,EpsilonGreedy
2.0,2.1594507423419773,EpsilonGreedy
2.0,4.612522438423969,EpsilonGreedy
2.0,2.9591917305290876,EpsilonGreedy
2.0,2.9598124020419716,EpsilonGreedy
2.0,1.5832926317642066,EpsilonGreedy
2.0,4.523031079182334,EpsilonGreedy
2.0,3.254537108231556,EpsilonGreedy
2.0,3.121619657332077,EpsilonGreedy
2.0,2.0399072115887495,EpsilonGreedy
2.0,4.711897920671594,EpsilonGreedy
2.0,1.8006810753301963,EpsilonGreedy
2.0,2.7213052876106474,EpsilonGreedy
2.0,3.1982759013746804,EpsilonGreedy
2.0,1.8939108211951738,EpsilonGreedy
2.0,5.0904322821584085,EpsilonGreedy
2.0,3.6943785901010897,EpsilonGreedy
2.0,3.3760481172131915,EpsilonGreedy
2.0,2.392941228700741,EpsilonGreedy
2.0,1.2659260498882898,EpsilonGreedy
2.0,1.521773152701009,EpsilonGreedy
2.0,3.350630762315614,EpsilonGreedy
2.0,2.905099189281472,EpsilonGreedy
2.0,3.0382242149992167,EpsilonGreedy
2.0,2.400179305011494,EpsilonGreedy
2.0,2.9198031488195335,EpsilonGreedy
2.0,1.927310336901982,EpsilonGreedy
2.0,2.5589238248505617,EpsilonGreedy
2.0,2.97310901951002,EpsilonGreedy
2.0,2.036906767805064,EpsilonGreedy
2.0,4.562911737344004,EpsilonGreedy
2.0,4.170917523740301,EpsilonGreedy
2.0,4.0145319583984564,EpsilonGreedy
2.0,3.388396997412605,EpsilonGreedy
2.0,3.138359627940372,EpsilonGreedy
2.0,2.2455521648323917,EpsilonGreedy
2.0,4.355115134305438,EpsilonGreedy
2.0,2.9964804875983004,EpsilonGreedy
2.0,2.841703775712096,EpsilonGreedy
2.0,3.017130887446906,EpsilonGreedy
2.0,1.4922696257448398,EpsilonGreedy
2.0,3.7353944065378024,EpsilonGreedy
2.0,2.803315688977152,EpsilonGreedy
2.0,4.119529366959814,EpsilonGreedy
2.0,3.264041191820633,EpsilonGreedy
2.0,3.8787304478408546,EpsilonGreedy
2.0,3.008683616882714,EpsilonGreedy
2.0,2.426263900328906,EpsilonGreedy
2.0,2.271560783435966,EpsilonGreedy
2.0,3.3460187558900705,EpsilonGreedy
2.0,2.418993482300825,EpsilonGreedy
2.0,1.4778072068676078,EpsilonGreedy
2.0,2.4125832526061104,EpsilonGreedy
2.0,4.469327306730327,EpsilonGreedy
2.0,3.6561454019999364,EpsilonGreedy
2.0,2.9148858203021097,EpsilonGreedy
2.0,3.2688094440390425,EpsilonGreedy
2.0,0.3247703374680593,EpsilonGreedy
2.0,4.5275681630663716,EpsilonGreedy
2.0,2.7851299328238244,EpsilonGreedy
2.0,2.7232092870843125,EpsilonGreedy
2.0,2.0847795305284373,EpsilonGreedy
2.0,1.9103760735368287,EpsilonGreedy
2.0,2.6684412078140447,EpsilonGreedy
2.0,1.8331898123588293,EpsilonGreedy
2.0,3.185069613845422,EpsilonGreedy
2.0,1.5202666241410376,EpsilonGreedy
2.0,4.1630882554522675,EpsilonGreedy
2.0,1.4081374252984447,EpsilonGreedy
2.0,3.1535017334131448,EpsilonGreedy
2.0,2.914314162867139,EpsilonGreedy
2.0,2.2401686317447647,EpsilonGreedy
2.0,2.4182127804585716,EpsilonGreedy
2.0,3.933472648036549,EpsilonGreedy
2.0,3.454039971140958,EpsilonGreedy
2.0,2.9784920304500315,EpsilonGreedy
2.0,1.1106485036649834,EpsilonGreedy
2.0,2.4384202540697357,EpsilonGreedy
2.0,3.5320202282813757,EpsilonGreedy
2.0,1.290962953281163,EpsilonGreedy
2.0,2.7479802762054364,EpsilonGreedy
